amostra;site;latitude;longitude;data;especies;sepal_length_cm;sepl_width_cm;petal_length_cm;petal_width_cm
A1;site3;48,329837;-65,512333;04_12_1929;iris_setosa;5.1;3.5;1.4;0.2
A10;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;4.9;3.1;1.5;0.1
A100;site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.7;2.8;4.1;1.3
A101;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.3;3.3;6;2.5
A102;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;5.8;2.7;5.1;1.9
A103;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;7.1;3;5.9;2.1
A104;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.3;2.9;5.6;1.8
A104;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.3;2.9;5.6;1.8
A105;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;6.5;3;5.8;2.2
A106;site3;48,329837;-65,512333;01_12_1929;iris_virginica;7.6;3;6.6;2.1
A107;site2;48,540502;-64,766512;13_02_1930;iris_virginica;4.9;2.5;4.5;1.7
A108;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;7.3;2.9;6.3;1.8
A109;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;6.7;2.5;5.8;1.8
A110;site2;48,540502;-64,766512;13_02_1930;iris_virginica;7.2;3.6;6.1;2.5
A111;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;6.5;3.2;5.1;2
A112;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;6.4;2.7;5.3;1.9
A112;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;6.4;2.7;5.3;1.9
A113;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.8;3;5.5;2.1
A114;site1;48,935966;-64,840984;01_12_1929;iris_virginica;5.7;2.5;5;2
A115;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;5.8;2.8;5.1;2.4
A116;Site2;48,540502;64,766512;13_02_1930;iris_virginica;6.4;3.2;5.3;2.3
A117;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;6.5;3;5.5;1.8
A117;site1;48,935966;-64,840984;01_12_1929;iris_virginica;6.5;3;5.5;1.8
A118;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;7.7;3.8;6.7;2.2
A119;ste2;48,540502;-64,766512;13_02_1930;iris_virginica;7.7;2.6;6.9;2.3
A119;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;7.7;2.6;6.9;2.3
A12 ;site1;48,935966;-64,840984;01_12_1929;iris_setosa;4.8;3.4;1.6;0.2
A120;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;6;2.2;5;1.5
A121;Site3;48, 329837;-65,512333;01_12_1929;iris_virginica;6.9;3.2;5.7;2.3
A122;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;5.6;2.8;4.9;2
A123;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;7.7;2.8;6.7;2
A123;Site2;48,935966;-64,840984;01_12_1929;iris_virginica;7.7;2.8;6.7;2
A124;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;6.3;2.7;4.9;1.8
A125;site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.7;3.3;5.7;2.1
A127;site3;49329837;-65,512333;01_12_1929;iris_virginica;6.2;2.8;4.8;1.8
A128;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.1;3;4.9;1.8
A129;site1;48,935966;-64,840984;01_12_1929;iris_virginica;6.4;2.8;5.6;2.1
A13;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;4.8;3;1.4;0.1
A130;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;7.2;3;5.8;1.6
A131;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;7.4;2.8;6.1;1.9
A132;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;7.9;3.8;6.4;2
A133;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;6.4;2.8;5.6;2.2
A134;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.3;2.8;5.1;1.5
A134;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.3;2.8;5.1;1.5
A135;site1;48,935966;-64,840984;01_12_1929;iris_virginica;6.1;2.6;5.6;1.4
A136;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;7.7;3;6.1;2.3
A137;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.3;3.4;5.6;2.4
A138;Site1;48,935966;-64840984;01_12_1929;iris_virginica;6.4;3.1;5.5;1.8
A138;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;6.4;3.1;5.5;1.8
A139;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;6;3;4.8;1.8
A14;Site2;48,540502;-64,766512;13_02_1930;iris_setosa;4.3;3;1.1;0.1
A140;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.9;3.1;5.4;2.1
A140;Site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.9;3.1;5.4;2.1
A141;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;6.7;3.1;5.6;2.4
A142;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;6.9;3.1;5.1;2.3
A143;site2;48,540502;-64,766512;13_02_1930;iris_virginica;5.8;2.7;5.1;1.9
A143;Site2;48,540502;-64766512;13_02_1930;iris_virginica;5.8;2.7;5.1;1.9
A144;site1;48,935966;-64,840984;01_12_1929;iris_virginica;6.8;3.2;5.9;2.3
A145;site3;48,329837;-65,512333;01_12_1929;iris_virginica;6.7;3.3;5.7;2.5
A146;site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.7;3;5.2;2.3
A147;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;6.3;2.5;5;1.9
A148;Site3;48,329837;-65,512333;01_12_1929;iris_virginica;6.5;3;5.2;2
A149;site2;48,540502;-64,766512;13_02_1930;iris_virginica;6.2;3.4;5.4;2.3
A15;site1;48,935966;-64,840984;01_12_1929;iris_setosa;5.8;4;1.2;0.2
A150;Site1;48,935966;-64,840984;01_12_1929;iris_virginica;5.9;3;5.1;1.8
A16;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;5.7;4.4;1.5;0.4
A17;site2;48,540502;-64,766512;13_02_1930;iris_setosa;5.4;3.9;1.3;0.4
A18;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;5.1;3.5;1.4;0.3
A19;site3;48,329837;-65,512333;01_12_1929;iris_setosa;5.7;3.8;1.7;0.3
A20;site2;48,540502;-64,766512;13_02_1930;iris_setosa;5.1;3.8;1.5;0.3
A21;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;5.4;3.4;1.7;0.2
A22;site3;48,329837;-65,512333;02_12_1929;iris_setosa;5.1;3.7;1.5;0.4
A24;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;5.1;3.3;1.7;0.5
A25;site3;48,329837;-65,512333;01_12_1929;iris_setosa;4.8;3.4;1.9;0.2
A26;site2;48,540502;-64,766512;13_02_1930;iris_setosa;5;3;1.6;0.2
A27;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;5;3.4;1.6;0.4
A28;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;5.2;3.5;1.5;0.2
A29;Site2;48,540502;-64,766512;13_02_1930;iris_setosa;5.1;3.4;1.4;0.2
A3;site1;48,935966;-64,840984;01_12_1929;iris_setosa;4.7;3.2;1.3;0.2
A30;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;4.7;3.2;1.6;0.2
A32;site2;48,540502;-64,766512;13_02_1930;iris_setosa;5.4;3.4;1.5;0.4
A33;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;5.2;4.1;1.5;0.1
A34;site3;48,329837;-65,512333;03_12_1929;iris_setosa;5.5;4.2;1.4;0.2
A35;Site2;48,540502;-64,766512;13_02_1930;iris_setosa;4.9;3.1;1.5;0.2
A36;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;5;3.2;1.2;0.2
A37;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;5.5;3.5;1.3;0.2
A39;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;4.4;3;1.3;0.2
A4;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;4.6;3.1;1.5;0.2
A40;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;5.1;3.4;1.5;0.2
A41;site2;48,540502;-64,766512;13_02_1930;iris_setosa;5;3.5;1.3;0.3
A42;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;4.5;2.3;1.3;0.3
A43;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;4.4;3.2;1.3;0.2
A44;site2;48,540502;-64,766512;14_02_1930;iris_setosa;5;3.5;1.6;0.6
A45;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;5.1;3.8;1.9;0.4
A46;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;4.8;3;1.4;0.3
A47;site2;48,540502;-64,766512;13_02_1930;iris_setosa;5.1;3.8;1.6;0.2
A48;Site1;48,935966;-64,840984;01_12_1929;iris_setosa;4.6;3.2;1.4;0.2
A49;Site3;48,329837;-65,512333;01_12_1929;iris_setosa;5.3;3.7;1.5;0.2
A5;Site2;48,540502;-64,766512;13_02_1930;iris_setosa;5;3.6;1.4;0.2
A50;site2;48,540502;-64,766512;15_02_1930;iris_setosa;5;3.3;1.4;0.2
A51;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;7;3.2;4.7;1.4
A52;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.4;3.2;4.5;1.5
A53;site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.9;3.1;4.9;1.5
A54;site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.5;2.3;4;1.3
A55;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.5;2.8;4.6;1.5
A56;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.7;2.8;4.5;1.3
A57;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.3;3.3;4.7;1.6
A58;site3;48,329837;-65,512333;01_12_1929;iris_versicolor;4.9;2.4;3.3;1
A59;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.6;2.9;4.6;1.3
A60;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.2;2.7;3.9;1.4
A61;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5;2;3.5;1
A62;site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.9;3;4.2;1.5
A63;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6;2.2;4;1
A64;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.1;2.9;4.7;1.4
A65;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.6;2.9;3.6;1.3
A66;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.7;3.1;4.4;1.4
A67;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.6;3;4.5;1.5
A68;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.8;2.7;4.1;1
A69;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.2;2.2;4.5;1.5
A7;site3;48,329837;-65,512333;05_12_1929;iris_setosa;4.6;3.4;1.4;0.3
A70;site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.6;2.5;3.9;1.1
A71;site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.9;3.2;4.8;1.8
A72;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.1;2.8;4;1.3
A73;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.3;2.5;4.9;1.5
A74;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.1;2.8;4.7;1.2
A75;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.4;2.9;4.3;1.3
A76;site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.6;3;4.4;1.4
A77;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.8;2.8;4.8;1.4
A78;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.7;3;5;1.7
A79;site3;49329837;-65,512333;01_12_1929;iris_versicolor;6;2.9;4.5;1.5
A80;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.7;2.6;3.5;1
A81;site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.5;2.4;3.8;1.1
A82;site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.5;2.4;3.7;1
A83;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.8;2.7;3.9;1.2
A84;site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6;2.7;5.1;1.6
A85;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.4;3;4.5;1.5
A86;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6;3.4;4.5;1.6
A87;site1;48,935966;-64,840984;01_12_1929;iris_versicolor;6.7;3.1;4.7;1.5
A88;site3;48,329837;-65,512333;01_12_1929;iris_versicolor;6.3;2.3;4.4;1.3
A89;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;5.6;3;4.1;1.3
A90;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.5;2.5;4;1.3
A91;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.5;2.6;4.4;1.2
A92;Site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.1;3;4.6;1.4
A93;site1;48, 935966;-64,840984;01_12_1929;iris_versicolor;5.8;2.6;4;1.2
A94;site3;48,329837;-65,512333;05_12_1929;iris_versicolor;5;2.3;3.3;1
A95;site2;48, 540502;-64,788512;13_02_1930;iris_versicolor;5.6;2.7;4.2;1.3
A96;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.7;3;4.2;1.2
A97;Site3;48,329837;-65,512333;01_12_1929;iris_versicolor;5.7;2.9;4.2;1.3
A98;site2;48,540502;-64,766512;13_02_1930;iris_versicolor;6.2;2.9;4.3;1.3
A99;Site1;48,935966;-64,840984;01_12_1929;iris_versicolor;5.1;2.5;3;1.1
