"";"amostra";"spp";"data";"latitude";"longitude";"tamanho_petala";"largura_petala";"tamanho_sepala";"largura_sepala"
"101";"A59";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.4";"2.9";"4.3"
"102";"A66";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"5.7";"3";"4.2"
"103";"A97";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VERSICOLOR";"5.5";"2.6";"4.4"
"104";"A9";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_SETOSA";"4.5";"2.3";"1.3"
"105";"A102";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VIRGINICA";"6.5";"3";"5.8"
"107";"A56";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.7";"3.1";"4.4"
"108";"A116";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VIRGINICA";"6.3";"2.5";"5"
"109";"A53";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.3";"3.3";"4.7"
"110";"A5";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_SETOSA";"4.7";"3.2";"1.6"
"111";"A85";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VERSICOLOR";"6.5";"2.8";"4.6"
"114";"A108";"1929_12_01";NA;"Site2";"48.935.966";"IRIS_VIRGINICA";"7.7";"2.8";"6.7"
"115";"A111";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VIRGINICA";"7.9";"3.8";"6.4"
"116";"A144";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VIRGINICA";"7.2";"3";"5.8"
"118";"A145";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VIRGINICA";"6.4";"2.8";"5.6"
"119";"A8";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_SETOSA";"4.4";"3";"1.3"
"120";"A7";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_SETOSA";"5";"3.2";"1.2"
"121";"A88";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VERSICOLOR";"6.1";"2.9";"4.7"
"122";"A57";"1929_12_01";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.2";"2.2";"4.5"
"123";"A138";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_VIRGINICA";"6.4";"2.7";"5.3"
"125";"A44";"1929_12_01";NA;"Site3";"48.329.837";"IRIS_SETOSA";"5.3";"3.7";"1.5"
"106";"A122";"1930_02_13";NA;"Site2";"48.540.502";"IRIS_VIRGINICA";"6.8";"3";"5.5"
"112";"A75";"1930_02_13";NA;"Site2";"48.540.502";"IRIS_VERSICOLOR";"6.1";"2.8";"4.7"
"113";"A119";"1930_02_13";NA;"Site2";"48.540.502";"IRIS_VIRGINICA";"6.3";"2.9";"5.6"
"117";"A127";"1930_02_13";NA;"Site2";"48.540.502";"IRIS_VIRGINICA";"6.1";"3";"4.9"
"124";"A79";"1930_02_13";NA;"Site2";"48.540.502";"IRIS_VERSICOLOR";"6";"3.4";"4.5"
"81";"A15";"iris_setosa";1929-12-01;"48935966";"-64840984";"5.8";"4";"1.2";"0.2"
"82";"A25";"iris_setosa";1929-12-01;"48329837";"-65512333";"4.8";"3.4";"1.9";"0.2"
"83";"A26";"iris_setosa";1930-02-13;"48540502";"-64766512";"5";"3";"1.6";"0.2"
"84";"A3";"iris_setosa";1929-12-01;"48935966";"-64840984";"4.7";"3.2";"1.3";"0.2"
"85";"A32";"iris_setosa";1930-02-13;"48540502";"-64766512";"5.4";"3.4";"1.5";"0.4"
"86";"A41";"iris_setosa";1930-02-13;"48540502";"-64766512";"5";"3.5";"1.3";"0.3"
"87";"A47";"iris_setosa";1930-02-13;"48540502";"-64766512";"5.1";"3.8";"1.6";"0.2"
"1";"A21";"Iris_setosa";1929-12-01;"48935966";"-64840984";"1.7";"0.2";"5.4";"3.4"
"2";"A24";"Iris_setosa";1929-12-01;"48935966";"-64840984";"1.7";"0.5";"5.1";"3.3"
"3";"A33";"Iris_setosa";1929-12-01;"48935966";"-64840984";"1.5";"0.1";"5.2";"4.1"
"4";"A29";"Iris_setosa";1930-02-13;"48540502";"-64766512";"1.4";"0.2";"5.1";"3.4"
"5";"A35";"Iris_setosa";1930-02-13;"48540502";"-64766512";"1.5";"0.2";"4.9";"3.1"
"6";"A5";"Iris_setosa";1930-02-13;"48540502";"-64766512";"1.4";"0.2";"5";"3.6"
"7";"A14";"Iris_setosa";1930-02-13;"48540502";"-64766512";"1.1";"0.1";"4.3";"3"
"8";"A37";"Iris_setosa";1929-12-01;"48329837";"-65512333";"1.3";"0.2";"5.5";"3.5"
"9";"A10";"Iris_setosa";1929-12-01;"48329837";"-65512333";"1.5";"0.1";"4.9";"3.1"
"26";"A59";"Iris_setosa";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.4";"2.9";"4.3"
"27";"A66";"Iris_setosa";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"5.7";"3";"4.2"
"42";"A127";"Iris_setosa";NA;"Site2";"48.540.502";"IRIS_VIRGINICA";"6.1";"3";"4.9"
"43";"A145";"Iris_setosa";NA;"Site3";"48.329.837";"IRIS_VIRGINICA";"6.4";"2.8";"5.6"
"44";"A8";"Iris_setosa";NA;"Site1";"48.935.966";"IRIS_SETOSA";"4.4";"3";"1.3"
"45";"A7";"Iris_setosa";NA;"Site1";"48.935.966";"IRIS_SETOSA";"5";"3.2";"1.2"
"54";"A13";"Iris_setosa";1929-12-01;"48329837";"-65512333";"4.8";"3";"1.4";"0.1"
"60";"A16";"Iris_setosa";1929-12-01;"48329837";"-65512333";"5.7";"4.4";"1.5";"0.4"
"61";"A28";"Iris_setosa";1929-12-01;"48329837";"-65512333";"5.2";"3.5";"1.5";"0.2"
"62";"A4";"Iris_setosa";1929-12-01;"48329837";"-65512333";"4.6";"3.1";"1.5";"0.2"
"63";"A48";"Iris_setosa";1929-12-01;"48935966";"-64840984";"4.6";"3.2";"1.4";"0.2"
"76";"A100";"iris_versicolor";1929-12-01;"48329837";"-65512333";"5.7";"2.8";"4.1";"1.3"
"88";"A54";"iris_versicolor";1929-12-01;"48935966";"-64840984";"5.5";"2.3";"4";"1.3"
"89";"A58";"iris_versicolor";1929-12-01;"48329837";"-65512333";"4.9";"2.4";"3.3";"1"
"90";"A62";"iris_versicolor";1930-02-13;"48540502";"-64766512";"5.9";"3";"4.2";"1.5"
"91";"A70";"iris_versicolor";1929-12-01;"48329837";"-65512333";"5.6";"2.5";"3.9";"1.1"
"92";"A71";"iris_versicolor";1930-02-13;"48540502";"-64766512";"5.9";"3.2";"4.8";"1.8"
"93";"A76";"iris_versicolor";1929-12-01;"48329837";"-65512333";"6.6";"3";"4.4";"1.4"
"94";"A79";"iris_versicolor";1929-12-01;"49329837";"-65512333";"6";"2.9";"4.5";"1.5"
"95";"A81";"iris_versicolor";1929-12-01;"48935966";"-64840984";"5.5";"2.4";"3.8";"1.1"
"96";"A82";"iris_versicolor";1929-12-01;"48329837";"-65512333";"5.5";"2.4";"3.7";"1"
"97";"A87";"iris_versicolor";1929-12-01;"48935966";"-64840984";"6.7";"3.1";"4.7";"1.5"
"98";"A88";"iris_versicolor";1929-12-01;"48329837";"-65512333";"6.3";"2.3";"4.4";"1.3"
"99";"A93";"iris_versicolor";1929-12-01;"48935966";"-64840984";"5.8";"2.6";"4";"1.2"
"100";"A95";"iris_versicolor";1930-02-13;"48540502";"-64788512";"5.6";"2.7";"4.2";"1.3"
"10";"A63";"Iris_versicolor";1929-12-01;"48935966";"-64840984";"4";"1";"6";"2.2"
"11";"A72";"Iris_versicolor";1929-12-01;"48935966";"-64840984";"4";"1.3";"6.1";"2.8"
"12";"A90";"Iris_versicolor";1929-12-01;"48935966";"-64840984";"4";"1.3";"5.5";"2.5"
"13";"A52";"Iris_versicolor";1929-12-01;"48329837";"-65512333";"4.5";"1.5";"6.4";"3.2"
"14";"A67";"Iris_versicolor";1929-12-01;"48329837";"-65512333";"4.5";"1.5";"5.6";"3"
"46";"A88";"Iris_versicolor";NA;"Site3";"48.329.837";"IRIS_VERSICOLOR";"6.1";"2.9";"4.7"
"47";"A57";"Iris_versicolor";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.2";"2.2";"4.5"
"48";"A138";"Iris_versicolor";NA;"Site3";"48.329.837";"IRIS_VIRGINICA";"6.4";"2.7";"5.3"
"49";"A79";"Iris_versicolor";NA;"Site2";"48.540.502";"IRIS_VERSICOLOR";"6";"3.4";"4.5"
"50";"A44";"Iris_versicolor";NA;"Site3";"48.329.837";"IRIS_SETOSA";"5.3";"3.7";"1.5"
"64";"A51";"Iris_versicolor";1929-12-01;"48935966";"-64840984";"7";"3.2";"4.7";"1.4"
"65";"A59";"Iris_versicolor";1930-02-13;"48540502";"-64766512";"6.6";"2.9";"4.6";"1.3"
"66";"A61";"Iris_versicolor";1929-12-01;"48329837";"-65512333";"5";"2";"3.5";"1"
"67";"A65";"Iris_versicolor";1930-02-13;"48540502";"-64766512";"5.6";"2.9";"3.6";"1.3"
"68";"A68";"Iris_versicolor";1930-02-13;"48540502";"-64766512";"5.8";"2.7";"4.1";"1"
"69";"A73";"Iris_versicolor";1929-12-01;"48329837";"-65512333";"6.3";"2.5";"4.9";"1.5"
"70";"A77";"Iris_versicolor";1930-02-13;"48540502";"-64766512";"6.8";"2.8";"4.8";"1.4"
"71";"A78";"Iris_versicolor";1929-12-01;"48935966";"-64840984";"6.7";"3";"5";"1.7"
"72";"A83";"Iris_versicolor";1930-02-13;"48540502";"-64766512";"5.8";"2.7";"3.9";"1.2"
"73";"A89";"Iris_versicolor";1930-02-13;"48540502";"-64766512";"5.6";"3";"4.1";"1.3"
"74";"A97";"Iris_versicolor";1929-12-01;"48329837";"-65512333";"5.7";"2.9";"4.2";"1.3"
"75";"A99";"Iris_versicolor";1929-12-01;"48935966";"-64840984";"5.1";"2.5";"3";"1.1"
"77";"A119";"iris_virginica";1930-02-13;"48540502";"-64766512";"7.7";"2.6";"6.9";"2.3"
"78";"A127";"iris_virginica";1929-12-01;"49329837";"-65512333";"6.2";"2.8";"4.8";"1.8"
"79";"A129";"iris_virginica";1929-12-01;"48935966";"-64840984";"6.4";"2.8";"5.6";"2.1"
"80";"A149";"iris_virginica";1930-02-13;"48540502";"-64766512";"6.2";"3.4";"5.4";"2.3"
"15";"A108";"Iris_virginica";1929-12-01;"48935966";"-64840984";"6.3";"1.8";"7.3";"2.9"
"16";"A111";"Iris_virginica";1929-12-01;"48935966";"-64840984";"5.1";"2";"6.5";"3.2"
"17";"A117";"Iris_virginica";1929-12-01;"48935966";"-64840984";"5.5";"1.8";"6.5";"3"
"18";"A120";"Iris_virginica";1929-12-01;"48935966";"-64840984";"5";"1.5";"6";"2.2"
"19";"A122";"Iris_virginica";1930-02-13;"48540502";"-64766512";"4.9";"2";"5.6";"2.8"
"20";"A131";"Iris_virginica";1930-02-13;"48540502";"-64766512";"6.1";"1.9";"7.4";"2.8"
"21";"A140";"Iris_virginica";1930-02-13;"48540502";"-64766512";"5.4";"2.1";"6.9";"3.1"
"22";"A109";"Iris_virginica";1929-12-01;"48329837";"-65512333";"5.8";"1.8";"6.7";"2.5"
"23";"A115";"Iris_virginica";1929-12-01;"48329837";"-65512333";"5.1";"2.4";"5.8";"2.8"
"24";"A136";"Iris_virginica";1929-12-01;"48329837";"-65512333";"6.1";"2.3";"7.7";"3"
"25";"A142";"Iris_virginica";1929-12-01;"48329837";"-65512333";"5.1";"2.3";"6.9";"3.1"
"28";"A97";"Iris_virginica";NA;"Site3";"48.329.837";"IRIS_VERSICOLOR";"5.5";"2.6";"4.4"
"29";"A9";"Iris_virginica";NA;"Site1";"48.935.966";"IRIS_SETOSA";"4.5";"2.3";"1.3"
"30";"A102";"Iris_virginica";NA;"Site1";"48.935.966";"IRIS_VIRGINICA";"6.5";"3";"5.8"
"31";"A122";"Iris_virginica";NA;"Site2";"48.540.502";"IRIS_VIRGINICA";"6.8";"3";"5.5"
"32";"A56";"Iris_virginica";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.7";"3.1";"4.4"
"33";"A116";"Iris_virginica";NA;"Site1";"48.935.966";"IRIS_VIRGINICA";"6.3";"2.5";"5"
"34";"A53";"Iris_virginica";NA;"Site1";"48.935.966";"IRIS_VERSICOLOR";"6.3";"3.3";"4.7"
"35";"A5";"Iris_virginica";NA;"Site1";"48.935.966";"IRIS_SETOSA";"4.7";"3.2";"1.6"
"36";"A85";"Iris_virginica";NA;"Site3";"48.329.837";"IRIS_VERSICOLOR";"6.5";"2.8";"4.6"
"37";"A75";"Iris_virginica";NA;"Site2";"48.540.502";"IRIS_VERSICOLOR";"6.1";"2.8";"4.7"
"38";"A119";"Iris_virginica";NA;"Site2";"48.540.502";"IRIS_VIRGINICA";"6.3";"2.9";"5.6"
"39";"A108";"Iris_virginica";NA;"Site2";"48.935.966";"IRIS_VIRGINICA";"7.7";"2.8";"6.7"
"40";"A111";"Iris_virginica";NA;"Site1";"48.935.966";"IRIS_VIRGINICA";"7.9";"3.8";"6.4"
"41";"A144";"Iris_virginica";NA;"Site3";"48.329.837";"IRIS_VIRGINICA";"7.2";"3";"5.8"
"51";"A103";"Iris_virginica";1929-12-01;"48329837";"-65512333";"7.1";"3";"5.9";"2.1"
"52";"A121";"Iris_virginica";1929-12-01;"48329837";"-65512333";"6.9";"3.2";"5.7";"2.3"
"53";"A123";"Iris_virginica";1929-12-01;"48935966";"-64840984";"7.7";"2.8";"6.7";"2"
"55";"A134";"Iris_virginica";1930-02-13;"48540502";"-64766512";"6.3";"2.8";"5.1";"1.5"
"56";"A137";"Iris_virginica";1930-02-13;"48540502";"-64766512";"6.3";"3.4";"5.6";"2.4"
"57";"A138";"Iris_virginica";1929-12-01;"48935966";"-64840984";"6.4";"3.1";"5.5";"1.8"
"58";"A148";"Iris_virginica";1929-12-01;"48329837";"-65512333";"6.5";"3";"5.2";"2"
"59";"A150";"Iris_virginica";1929-12-01;"48935966";"-64840984";"5.9";"3";"5.1";"1.8"
